video_id,author,published_at,updated_at,like_count,text
A-gUGrsvkKY,@SocialStoicYouTube,2024-08-14T19:57:56Z,2024-08-14T19:57:56Z,3,"For 1 to 1 coaching please email us at: thesocialstoic@<a href=""http://gmail.com/"">gmail.com</a>"
A-gUGrsvkKY,@initiatorhater0688,2024-08-16T23:29:41Z,2024-08-16T23:29:41Z,0,"it reminds me, while a woman has never said this to me when asking her out, i know it happens at times when a woman is asked out by a guy after having a conversation or interaction with her, when she is not sure what the guy is doing, she will say to him &quot;are you asking me out?&quot;, i know of how i will respond if a woman says that to me, i will say to her:<br><br>&quot;Duh!!!!!, of course i&#39;m asking you out, i&#39;m a guy, its what we do!!&quot;, i just feel like sarcastically and ventingly responding to a woman like that, just expressing my anger and rage towards women due to how they have always played a passive role in human mating, i know i&#39;m not the only guy in the world that sometimes hates women because of how passive they are in the courtship phase or attraction phase, forming a relationship, etc., how it seems men have always had to do all or most of the work when it comes to starting a relationship, and it gets me more mad when people and society say that guys, men, are not supposed to view it as work, that men are supposed to view it as a joy and gift on what the man is expected to do when making a relationship happen or start, taking the lead in everything in the beginning, etc.<br><br>Well people have a right to their mindset.<br><br>Yes, it truly does feel unfair being a man at times. I get more pissed off whenever people and society say &quot;we don&#39;t have to deal with pregnancy or childbirth&quot;, that only pisses me off even further."
A-gUGrsvkKY,@markmaisner2724,2024-08-16T12:11:23Z,2024-08-16T12:11:36Z,1,super good info
A-gUGrsvkKY,@Tejas25988,2024-08-16T09:01:39Z,2024-08-16T09:01:39Z,0,Say no hi fear
A-gUGrsvkKY,@Cjay858,2024-08-16T05:08:32Z,2024-08-16T05:08:32Z,0,"Maybe use a warp stabilizer in post on the infields, almost unwatchable..."
A-gUGrsvkKY,@habibulmumin1114,2024-08-15T23:17:25Z,2024-08-15T23:17:25Z,1,Good advice!
A-gUGrsvkKY,@N57Icarus,2024-08-15T20:21:34Z,2024-08-15T20:21:34Z,0,"What is particularly worth mentioning is the cinematic camera movements, as if it was taken from a film. I like the absolute naturalness here, without any frills, but rather a human, open and honest encounter with the ladies"
A-gUGrsvkKY,@rasmodeus4537,2024-08-15T15:45:07Z,2024-08-15T15:45:07Z,0,"Say No, &quot;Hi&quot; Fear!!! 💪"
A-gUGrsvkKY,@saphyrionelendilion7166,2024-08-15T14:58:41Z,2024-08-15T14:58:41Z,0,"I like the way you handled your rejection. You could have been spent a bit more of time to highlight the differences: the girl not talking/not comfortable, not turning her body towards you (body language), etc. Btw the random chicken conversation was amazing 😂❤"
A-gUGrsvkKY,@Leto1988,2024-08-15T13:11:25Z,2024-08-15T13:11:25Z,1,"I don&#39;t mean to critique, but you seem to always stand a bit too close to these girls, may seem a bit intrusive. Also you&#39;re maybe this very high energy person but I think you talk too fast not leaving much room to breathe in these conversations. Apart from that all great, you&#39;re very confident in what you do."
A-gUGrsvkKY,@Cynane27,2024-08-15T11:22:55Z,2024-08-15T11:22:55Z,0,Also that shirt is dope
A-gUGrsvkKY,@Cynane27,2024-08-15T11:22:38Z,2024-08-15T11:22:38Z,0,You&#39;re really good at this man
A-gUGrsvkKY,@damirderek8827,2024-08-15T09:41:00Z,2024-08-15T09:44:42Z,0,This summer I went on approach rampage on beaches and first few approaches are always wierd but after some time when you get in that momentum you can approach every girl you see with ease even in groups. In daygame most fun for me is to approach girls in caffee bar and after some time sit with them like you are on date.
A-gUGrsvkKY,@antoncastillo404,2024-08-15T09:05:48Z,2024-08-15T09:05:48Z,0,"<a href=""https://www.youtube.com/watch?v=A-gUGrsvkKY&amp;t=58"">0:58</a> future ex-wife? Really bro 😂"
A-gUGrsvkKY,@tongobong1,2024-08-15T08:50:53Z,2024-08-15T08:50:53Z,0,Do we really need to talk so much to get her? I am a normal man so I hate talking. I would love to approach and get her to date with minimal talking.
A-gUGrsvkKY,@benedictcoltman1983,2024-08-15T08:22:49Z,2024-08-15T08:22:49Z,0,Outstanding video.
A-gUGrsvkKY,@Panathinaikos_G13,2024-08-15T07:47:24Z,2024-08-15T07:47:24Z,0,Nice content bro . 👍🏼
A-gUGrsvkKY,@TrickWhyz,2024-08-15T04:08:42Z,2024-08-15T04:08:42Z,0,Approaching girls for 10yrs and U still don&#39;t have a wife ??? What A jOke !!! these guys are players which is an inability of maintaining a Relationship.
A-gUGrsvkKY,@vienymember1000,2024-08-14T22:23:48Z,2024-08-14T22:23:48Z,0,What&#39;s your connection to Street Attraction? You are in the same studio as they used and everything
A-gUGrsvkKY,@MrRicksta98,2024-08-14T22:18:10Z,2024-08-14T22:18:10Z,0,Big up my g! Very broadly applicable points
A-gUGrsvkKY,@vd714,2024-08-14T21:57:59Z,2024-08-14T21:57:59Z,0,"Was recently coached by adam  - really cool guy that is doing things i haven&#39;t seen before, still amazed to this day"
A-gUGrsvkKY,@aarrynz9721,2024-08-14T21:36:00Z,2024-08-14T21:36:00Z,1,How old are you Adam?
A-gUGrsvkKY,@AyanokoG,2024-08-14T21:13:05Z,2024-08-14T21:13:05Z,1,"I think it is interesting that you bring some of the compliments in a very nonchalant/objective kind of way, is that on purpose? It makes it seem less needy, which is good. She will still have the same flattery but she is not put on a pedistal."
A-gUGrsvkKY,@AyanokoG,2024-08-14T21:00:53Z,2024-08-14T21:00:53Z,5,I like the tip with the semi-direct opener having less pressure.
A-gUGrsvkKY,@AyanokoG,2024-08-14T20:57:05Z,2024-08-14T20:57:05Z,1,"I think you overcomplimented at <a href=""https://www.youtube.com/watch?v=A-gUGrsvkKY&amp;t=250"">4:10</a> 😉"
A-gUGrsvkKY,@mr_white743,2024-08-14T20:56:42Z,2024-08-14T20:56:42Z,5,"This was very relevant to recent experiences. Broke all the rules. put her on a pedestal, came up with excuses, needed the open to &#39;go well&#39; to &#39;get her. the losers journey. I will endeavour to remediate this"
A-gUGrsvkKY,@AyanokoG,2024-08-14T20:56:17Z,2024-08-14T20:56:17Z,1,Bro the social archeology tip is solid man. Will definitely try it.
A-gUGrsvkKY,@chero1gx,2024-08-14T20:34:58Z,2024-08-14T20:34:58Z,3,"Points at boyfriend. Gives her kiss on the cheek. Lol wtf 😅 Great Vid, Brotha’ 👌🏼"
A-gUGrsvkKY,@ZenGamer97,2024-08-14T20:26:18Z,2024-08-14T20:26:18Z,7,Dude got next level game
A-gUGrsvkKY,@msilence2009,2024-08-14T20:23:19Z,2024-08-14T20:23:19Z,0,Great skills
