video_id,author,published_at,updated_at,like_count,text
G2sWa8X0EjA,@SocialStoicYouTube,2024-06-24T15:20:48Z,2024-08-15T08:49:40Z,1,"For 1 to 1 coaching please email us at:   thesocialstoic@<a href=""http://gmail.com/"">gmail.com</a>"
G2sWa8X0EjA,@o0SayNoMore0o,2024-08-15T11:26:53Z,2024-08-15T11:26:53Z,2,Very true about not stopping girls from the front...
G2sWa8X0EjA,@Social-Freedom,2024-07-17T18:54:24Z,2024-07-17T18:54:24Z,0,loving the matrix filter! - treat life like a video game!
G2sWa8X0EjA,@nikhiljahagirdar2724,2024-07-13T20:54:57Z,2024-07-13T20:54:57Z,1,"Bro! Make more videos, your videos are epic"
G2sWa8X0EjA,@Real_Matt,2024-07-08T20:33:01Z,2024-07-08T20:33:01Z,0,"are you related to eddie, you sound very similar."
G2sWa8X0EjA,@danaycomedy,2024-07-06T13:12:31Z,2024-07-06T13:12:31Z,2,Love your content man. Keep posting.
G2sWa8X0EjA,@godfreyerasto1737,2024-07-03T18:28:32Z,2024-07-03T18:28:32Z,1,Adam you know what you’re doing bro clear explanation…I watch many pickup artists and I can tell they’re real artists it’s more of acting and not social skills you can learn…you sound more natural you deserve more subs
G2sWa8X0EjA,@lcj8909,2024-06-30T22:40:51Z,2024-06-30T22:40:51Z,0,Great break down
G2sWa8X0EjA,@melodicroutes,2024-06-26T18:07:14Z,2024-06-26T18:07:14Z,1,Strong
G2sWa8X0EjA,@Gigachadindustries,2024-05-16T13:01:51Z,2024-05-16T13:01:51Z,1,Awesome video!
G2sWa8X0EjA,@ZenGamer97,2024-05-15T12:41:32Z,2024-05-15T12:41:32Z,1,Mastery   👌🏻
G2sWa8X0EjA,@melodicroutes,2024-05-15T07:15:23Z,2024-05-15T07:15:23Z,1,Such finesse. Lots to learn about approaching in this video
G2sWa8X0EjA,@theorymusic4886,2024-05-15T00:05:19Z,2024-05-15T00:05:19Z,2,Quality content here gents!👌
G2sWa8X0EjA,@MrRicksta98,2024-05-14T19:23:42Z,2024-05-14T19:23:42Z,1,🔥🔥
G2sWa8X0EjA,@IAmLorenzoF,2024-05-14T17:31:46Z,2024-05-14T17:31:46Z,4,The best of the best! 🙏
