video_id,author,published_at,updated_at,like_count,text
XOS_kGpXl0U,@SocialStoicYouTube,2024-06-24T15:21:42Z,2024-08-15T08:49:10Z,0,"For 1 to 1 coaching please email us at:   thesocialstoic@<a href=""http://gmail.com/"">gmail.com</a>"
XOS_kGpXl0U,@Leto1988,2024-08-15T20:54:47Z,2024-08-15T20:54:47Z,1,"It&#39;s crazy how in the beginning of the video you advertise offline dating as if it was some new discovery or we forgot our standard norms in interactions, crazy how this world gone mad. Meeting women in public is 10x better than online. You see what this girl is really like, you get bonus points for having balls to approach, one of the most important things girl find attractive in other sex is confidence."
XOS_kGpXl0U,@stephenY96,2024-08-06T09:18:06Z,2024-08-06T09:18:06Z,0,"I have no problem approaching women, talking, being flirty etc. In fact id even go to say im pretty good with women with a good track record. But its difficult to find any women it feels like everywhere its like 80:20 ratio of guys to women and then if there is women they usually either have a boyfriend or are not approachable/what im looking for/way too old way too young etc. Even in all the cities near mine the ratios are wack. Genuinly seems to be a lack of single mid to late 20s girls who are relaxed and down to earth and available to chill. And im not resorting to going to nightclubs full of uni girls who are drunk etc as that whole experience and vibe is sickening to me."
XOS_kGpXl0U,@mehtabhorrorstories,2024-08-03T09:14:21Z,2024-08-03T09:14:21Z,0,i am from india can you teach me about how to over approach  anixety
XOS_kGpXl0U,@TheTuberQ,2024-07-31T13:15:29Z,2024-07-31T13:15:29Z,0,Almost all of your clothes will look good on you if you are in shape. So get your ass in the fkn gym. Trust me it makes everything 100x easier
XOS_kGpXl0U,@gl_silentesports9164,2024-07-30T18:12:02Z,2024-07-30T18:12:02Z,0,Rly nice video thx you
XOS_kGpXl0U,@newsparrow,2024-07-22T21:10:57Z,2024-07-22T21:10:57Z,0,Does this apply to ppl shorter than 6ft?
XOS_kGpXl0U,@JuanPablo-o6c,2024-07-19T06:16:19Z,2024-07-19T06:16:19Z,1,"My fellow learners, dont just binge watch these youtube videos. Watch one video, go try out the lessons and then comeback for more"
XOS_kGpXl0U,@bharatmata78615,2024-07-19T02:00:42Z,2024-07-19T02:00:42Z,0,Are Eddide and Richard back? What about George. Say my Hello to them please :)<br><br>- Student from the 2017 NYC bootcamp 😊
XOS_kGpXl0U,@evan7476,2024-07-18T02:49:52Z,2024-07-18T02:49:52Z,0,"one thing I will say, im genuinely jealous of Europeans and people from like Australia trying to cold approach because (even just in the backdrop of your conversations), most of the women out and about are decently attractive and a lot are very attractive... here in the US, we have normalized sloth like behavior, so much so, that when trying to approach a woman, you will have 20 walk by, 10 will be visually overweight/obese, another 5 are lesbians/shaved heads, and of the remaining 5, only 1 will be single.. not saying it&#39;s impossible, just that we have truly shot ourselves in the foot with this numbers game the last 20 or so years... may be time to break out the passport and put some skills to work.. <br><br>great video!"
