video_id,author,published_at,updated_at,like_count,text
YPycL-qJrA0,@SocialStoicYouTube,2024-08-15T08:48:32Z,2024-08-15T08:48:32Z,0,"For 1 to 1 coaching please email us at: thesocialstoic@<a href=""http://gmail.com/"">gmail.com</a>"
YPycL-qJrA0,@aarrynz9721,2024-08-02T21:38:45Z,2024-08-02T21:38:45Z,1,Bro you&#39;re just 26?
YPycL-qJrA0,@enoshkofler3003,2024-07-30T21:25:50Z,2024-07-30T21:25:50Z,1,Great content! Excellent and in-depth info on staying safe. Btw &quot;Ron&quot; is just rum.. that&#39;s how they say it in Spanish
YPycL-qJrA0,@MultiAxiom,2024-07-22T13:34:35Z,2024-07-22T13:34:35Z,2,"This video popped up randomly for me, solid stuff. Can&#39;t believe this channel only has 1k subs."
YPycL-qJrA0,@Kempoz,2024-07-22T13:14:44Z,2024-07-22T13:14:44Z,1,you should do one video for medellin. loved the video mate
YPycL-qJrA0,@IAmLorenzoF,2024-07-21T13:20:35Z,2024-07-21T13:20:35Z,1,I’m booking my flight.
YPycL-qJrA0,@AlgorithmicTrader,2024-07-20T04:35:12Z,2024-07-20T04:35:12Z,1,"how do i flirt, i used to have game when i was younger but lost it after a long and unhealthy relationship need help 🙏"
YPycL-qJrA0,@danielardila6234,2024-07-20T00:09:47Z,2024-07-20T00:09:47Z,1,"Im from Bogotá, nice review of the city and the girls😂"
YPycL-qJrA0,@ianli9455,2024-07-19T21:31:42Z,2024-07-19T21:31:42Z,1,Nice!
YPycL-qJrA0,@Foot_with_me,2024-07-19T20:44:49Z,2024-07-19T20:44:49Z,1,🥇
YPycL-qJrA0,@paulhorn24,2024-07-19T19:21:22Z,2024-07-19T19:22:18Z,1,"Catwoman: Missed opportunity, the man could have rapidly googled one photo of the costume of the Catwoman movie, show the photo to the woman and than the man could have asked to woman: „are you a Cuddly cat or dangerous predatory cat?“ with a big smile and one raised eybrow – you know the sexy look 😜"
YPycL-qJrA0,@scrippagerblx4208,2024-07-19T16:24:08Z,2024-07-19T16:24:08Z,1,"The thing is i dislike the fact that you dont get much views. But, at the same time its good because the videos have authentic tips and tricks compared to typical &quot;dating&quot; themed videos so information does not reach the masses as much."
YPycL-qJrA0,@markmaisner2724,2024-07-19T16:04:25Z,2024-07-19T16:04:25Z,3,crazy good stuff
YPycL-qJrA0,@leemoran8096,2024-07-19T15:51:32Z,2024-07-19T15:51:32Z,4,I love the quality of this video! 💙🙌
YPycL-qJrA0,@Paddehj,2024-07-19T15:38:47Z,2024-07-19T15:38:47Z,1,Why do you keep flinging your hand at the camera like that?
YPycL-qJrA0,@ZenGamer97,2024-07-19T15:32:50Z,2024-07-19T15:32:50Z,10,Simply the BEST pickup channel on youtube.
