video_id,author,published_at,updated_at,like_count,text
pfmZ69WGysA,@SocialStoicYouTube,2024-06-24T15:21:18Z,2024-08-15T08:50:35Z,0,"For 1 to 1 coaching please email us at:   thesocialstoic@<a href=""http://gmail.com/"">gmail.com</a>"
pfmZ69WGysA,@tamimhafazi2866,2024-08-10T12:35:03Z,2024-08-10T12:35:03Z,0,When i approch girl they always say i need go thanks
pfmZ69WGysA,@patomacko1017,2024-07-23T11:38:03Z,2024-07-23T11:38:03Z,0,Me: Try this<br>Girl: Leave me alone<br>Me: ...another pain...
pfmZ69WGysA,@markobolo4465,2024-07-22T17:18:36Z,2024-07-22T17:18:36Z,0,I dont think ill be able to do a cold approach on a street maybe can you tell how to approach in a bar or a coffee shop maybe
pfmZ69WGysA,@JuanPablo-o6c,2024-07-19T05:54:15Z,2024-07-19T05:54:15Z,0,This man is the truth. He even shows the failures. Respect!
pfmZ69WGysA,@h.sowandegray2913,2024-07-18T16:47:47Z,2024-07-18T16:47:47Z,1,Will he ever meet up with his business partner?!?
pfmZ69WGysA,@ywueeee,2024-07-16T23:35:02Z,2024-07-16T23:35:02Z,0,"about the india comment, i assume pickup there was close to non-existent or put in jail kinda situation?"
pfmZ69WGysA,@rambo7135,2024-07-14T21:00:11Z,2024-07-14T21:00:11Z,1,The problem with the front stop is it seems a little too agressive because you&#39;re blocking a girl&#39;s path. Its not always the best way and especially not in a small town or city. Also the running makes you look desperate although guys might argue you&#39;re going after what you want but this way is just not natural.<br><br>Another issue is when a guy blocks a girl&#39;s path like this it can cause anxiety in the girl.<br><br>Also the streets/outside are not the only places to meet women. You also dont always need to go Direct. In certain situations Direct just won&#39;t be appropriate. Guys really need to learn multiple ways of approaching and not just becoming one trick ponies!
pfmZ69WGysA,@vitte_stinson22,2024-07-13T17:33:21Z,2024-07-13T17:33:21Z,4,"Whatever you do mate, do not delete your channel. A lot of us can learn from you. You are one of the very few, if not, the best there is out there. Cheers 👏🏽"
pfmZ69WGysA,@jammesvqk857,2024-07-13T13:06:35Z,2024-07-13T13:06:35Z,2,This guy is a legend.
pfmZ69WGysA,@TheSonicseduction,2024-07-10T15:06:56Z,2024-07-10T15:06:56Z,1,"The main purpose of the frontal stop (classic Yad Stop) is because it is the most efficient way to train your conviction, show intention, and open strongly. The problem with the side stop (for beginners and beginner-intermediates) is that it is a false illusion of approach. The girl says no and thank you, and you feel falsely validated because at least you tried (but there was no conviction from the start)...<br><br>Side stops are also efficient, for example, if you just need to ask for information. It&#39;s not necessary to stop a girl just to ask where the subway is. And if a girl likes you (talking about numbers game), she won&#39;t reject you just because you didn&#39;t stop her correctly.<br><br>It&#39;s all a matter of conviction."
pfmZ69WGysA,@benglue5396,2024-07-05T14:25:22Z,2024-07-05T14:25:22Z,2,I have never done a yad stop. I feel so much more natural if I only approach  a girl I&#39;ve made eye contact with. Then the side stop feels most authentic to me.
pfmZ69WGysA,@lcj8909,2024-06-30T23:14:12Z,2024-06-30T23:14:12Z,0,This is solid
pfmZ69WGysA,@melodicroutes,2024-06-26T18:06:41Z,2024-06-26T18:06:41Z,2,Great video
pfmZ69WGysA,@mr_white743,2024-05-30T23:14:24Z,2024-05-30T23:14:53Z,2,I came to see if there was a new video. I was not disappointed. Awesome work fellas
pfmZ69WGysA,@ianli9455,2024-05-25T19:34:23Z,2024-05-25T19:34:23Z,1,"Hardcore content, confident front stop is the key💊"
pfmZ69WGysA,@MrRicksta98,2024-05-24T18:38:47Z,2024-05-24T18:38:47Z,1,"<a href=""http://www.youtube.com/results?search_query=%23nomoresidestops"">#NoMoreSideStops</a> - diagonal stops are better. But front stops are the best"
pfmZ69WGysA,@MrRicksta98,2024-05-24T18:37:59Z,2024-05-24T18:37:59Z,1,"<a href=""http://www.youtube.com/results?search_query=%23nomoresidestops"">#nomoresidestops</a>"
pfmZ69WGysA,@Gigachadindustries,2024-05-24T16:23:03Z,2024-05-24T16:23:03Z,5,This is fire 🔥
pfmZ69WGysA,@IAmLorenzoF,2024-05-24T16:04:35Z,2024-05-24T16:04:35Z,8,"Front stops are way less creepy and project more confidence. <a href=""http://www.youtube.com/results?search_query=%23nomoresidestops"">#NoMoreSideStops</a> 🙏"
pfmZ69WGysA,@MrRicksta98,2024-05-24T15:40:15Z,2024-05-24T15:40:15Z,4,Simple and effective✅
pfmZ69WGysA,@dorotaherda3647,2024-05-24T15:38:14Z,2024-05-24T15:38:14Z,10,"I&#39;m a girl, and it checks out 👍🏻 It&#39;s way more comfortable if a guy just stops you upfront and lets you go away if you don&#39;t feel like speaking to him, than when he&#39;s following you and desperately trying to catch your attention."
