video_id,duration
kPa7bsKwL-c,0:04:13
87HBKSxAip8,0:15:34
UxXY_hR_wzo,0:03:12
hX0lhueeib8,0:03:55
spbagny8OjM,0:02:52
Hizd3no5uCc,0:38:08
j3HRytbqod8,0:24:17
DH-Xth300YE,0:01:39
ny-IxcS7Yb4,0:02:23
6sUFZ9NZCa8,0:02:51
Z7Ohove06Do,0:02:04
uKiF-UMnB9A,0:03:30
iLXsGhgeDmI,0:15:43
6OW2XvdMJPs,0:18:29
yX56eEcCaA8,0:09:47
g8DkDQhPx2A,0:02:56
wUtPwhbZra8,0:54:29
P9DIm2L7gWQ,0:13:53
w1BaF4fd1UM,0:04:11
PHHbaEkJ9tY,0:01:10
Lr4FSwSRuNU,0:02:19
QtRpinoAxLA,0:53:28
j8DxdibHibU,0:26:03
qw4vHOndLdk,0:16:01
AUF3TvJuIL0,0:03:08
IdxXVsVD01k,0:58:31
7Zkk0owxxmk,0:11:20
SGwYX6X7MNc,0:03:05
idfW1QffL24,0:30:16
gwKMTXRm-Rs,0:06:45
DYuAxGxH-8E,0:22:54
1T6w0OLwXwA,0:03:16
i94Coq6GwT4,0:23:58
HHusgEBIYhs,0:08:48
RXlVzqsXUXo,0:15:12
xoPH5iOJ5jw,0:28:49
0OiRAh6L77Y,0:36:53
VqW8qQ9rSA0,0:02:40
nBKID-Fqq5I,0:02:13
92lymjQqynM,0:00:16
Cwm5xdh7KUA,0:02:25
6pbcEj3V38w,0:26:12
7_5v4r3kjgc,0:01:23
mTiCeXMsgbM,0:09:53
j0KT4NTZNQo,0:03:17
4T_0Tcts6aM,2:17:42
26tqx4PLyBU,0:06:39
14AbzOn3aYE,0:37:48
IjY84pnKkhs,0:16:13
wCu-o5_uVeo,0:34:26
